Model Name,R2,MAE,RMSE,MAPE (%),Seed
Linear Regression,0.9060194151769619,1403.1101677336574,1892.4023761369542,5.569082975015729,42
Random Forest Regressor,0.910661302756085,1332.87875792049,1845.0758339359677,5.414500315954115,42
Random Forest Regressor,0.9114537084359534,1327.8758554490003,1836.8749923662585,5.394709263931694,7
Random Forest Regressor,0.9096831746089137,1338.2612047002372,1855.1487796871145,5.440931920964587,123
Random Forest Regressor,0.9098949601562676,1339.4915026274236,1852.9724172300332,5.444353673036676,2024
Random Forest Regressor,0.9101628552788102,1337.5057300392712,1850.2157912308912,5.432413234690242,99
HistGradientBoosting Regressor,0.9197247412893612,1266.264482380303,1748.9817186651253,5.1277279089316625,42
HistGradientBoosting Regressor,0.9223194099993988,1237.5350654725628,1720.4841293232566,5.019407500321468,7
HistGradientBoosting Regressor,0.916658724677902,1283.5551308225854,1782.0688709173075,5.257850328343131,123
HistGradientBoosting Regressor,0.9182680918659604,1269.7973361773088,1764.7786136753218,5.217723380301637,2024
HistGradientBoosting Regressor,0.9204752986933842,1261.475902146933,1740.7862047279486,5.121078215040031,99
ExtraTrees Regressor,0.9204060295848511,1260.1025807386086,1741.5441859585583,5.109837311912154,42
ExtraTrees Regressor,0.921090550455124,1254.050733110234,1734.0392359630873,5.093687544142675,7
ExtraTrees Regressor,0.9212013380892414,1255.3160212460773,1732.821526406116,5.093845926615789,123
ExtraTrees Regressor,0.9204647224899393,1260.9880373783585,1740.9019567940643,5.120747859112203,2024
ExtraTrees Regressor,0.9200169102774929,1265.7983005316382,1745.796029629615,5.1433456099250545,99
MLP Regressor,0.9177567177646082,1315.8374441771873,1770.290872490355,5.332883959943032,42
MLP Regressor,0.9160324455224775,1325.7418233385984,1788.7521362329958,5.380070925181004,7
MLP Regressor,0.9146746579255619,1345.8047702349802,1803.1565429918264,5.478365783988356,123
MLP Regressor,0.9185756882391641,1302.6345047155114,1761.4546290885055,5.3166399626532845,2024
MLP Regressor,0.9145169908838013,1338.0877946331702,1804.821740799633,5.491462401840261,99
CatBoost Regressor,0.9272347731709307,1192.4042734724212,1665.161483748807,4.900780201361672,42
CatBoost Regressor,0.9230828527984636,1227.5722397163217,1712.0088176950248,5.062690169237066,7
CatBoost Regressor,0.9254608219392091,1208.1446903983556,1685.3368347060405,4.974581076612873,123
CatBoost Regressor,0.9247327466583187,1211.5689551286373,1693.5477534561307,4.982429621873349,2024
CatBoost Regressor,0.9272555981703231,1199.1820850509855,1664.9231867638098,4.888103926259997,99
XGBoost Regressor,0.9178682443278982,1273.0788661398276,1769.0901577926288,5.26648927605005,42
XGBoost Regressor,0.9193094522602334,1259.5259918245504,1753.499897533308,5.208165036071242,7
XGBoost Regressor,0.9212794937754208,1248.745167901293,1731.961972131983,5.131266689318307,123
XGBoost Regressor,0.9225656257510002,1243.4693172504126,1717.7553492383443,5.095357685292001,2024
XGBoost Regressor,0.9202403818859923,1256.7211225129583,1743.3554591411532,5.180107865071576,99
XGBoost Regressor (Tuned),0.9238524335235299,1229.6055617193572,1703.4226883287138,5.036731996615992,42
XGBoost Regressor (Tuned),0.9235752045031732,1231.9847825841514,1706.5206807427255,5.04014339263188,7
XGBoost Regressor (Tuned),0.9245196956130654,1227.1910276102578,1695.9429328709055,5.012352203107649,123
XGBoost Regressor (Tuned),0.9240942846048608,1231.8721973827971,1700.715430071884,5.026848711329812,2024
XGBoost Regressor (Tuned),0.9247220841236257,1224.3056944715634,1693.6677051708668,4.99202820148559,99
LightGBM Regressor,0.9229007799530634,1230.7857841515424,1714.033893256567,5.0102870439344045,42
LightGBM Regressor,0.9202557038813374,1253.161505992306,1743.1879999191326,5.128162843489478,7
LightGBM Regressor,0.9231808580546633,1229.4946509856866,1710.9177778569547,5.004312363605635,123
LightGBM Regressor,0.9251268240282892,1210.9324454074122,1689.1084742702733,4.918097469748977,2024
LightGBM Regressor,0.9187017249991952,1261.810901778386,1760.0908225806565,5.197324965591572,99
LightGBM Regressor (Tuned),0.9247651382220814,1227.2736153380758,1693.1833017136953,4.9860262466634735,42
LightGBM Regressor (Tuned),0.9258921085612996,1222.7626290629887,1680.4540487866361,4.951835322030111,7
LightGBM Regressor (Tuned),0.9249980622804412,1218.635374589837,1690.560256766171,4.972772993763804,123
LightGBM Regressor (Tuned),0.925729734086734,1209.6187423336598,1682.294025184866,4.9205069195150655,2024
LightGBM Regressor (Tuned),0.9248752144835256,1224.205829580698,1691.944198548809,4.987918324992504,99
