Model Name,n_seeds,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std
CatBoost Regressor,5,0.925553358547449,0.001768483843717358,1207.7744487533441,13.384308785677925,1684.1956152739626,19.975383368544968,4.961716999068992,0.07057311125968337
LightGBM Regressor (Tuned),5,0.9252520515268163,0.0005199651181183113,1220.499238181052,6.830320660952538,1687.6871662000353,5.873423978603902,4.963811961392992,0.028167613848613476
XGBoost Regressor (Tuned),5,0.9241527404736509,0.00047062655476283813,1228.9918527536254,3.2723731254776722,1700.053887437019,5.274683524760698,5.021620901034185,0.019750914744531615
LightGBM Regressor,5,0.9220331781833098,0.0025445304942300837,1237.2370576630667,20.315992999318258,1723.467793576717,28.094470028058076,5.051636937274013,0.11052537520420022
ExtraTrees Regressor,5,0.9206359101793297,0.0004979251180830884,1259.2511346009833,4.72060553022088,1739.0205869502884,5.455660758158791,5.112292850341575,0.020786035779694262
HistGradientBoosting Regressor,5,0.9194892533052013,0.002152943019601383,1263.7255833999386,16.789337657076544,1751.4199074617923,23.41931233017717,5.148757466587585,0.09300181016371513
XGBoost Regressor,5,0.9202526396001091,0.0018013486513837164,1256.3080931258085,11.333758166733851,1743.1325671674836,19.685737947044885,5.176277310360635,0.06660262885540065
MLP Regressor,5,0.9163113000671226,0.0018160801824147735,1325.6212674198894,17.22583145487911,1785.6951843206632,19.39694889221759,5.399884606721187,0.08117439121263946
Random Forest Regressor,5,0.910371200247206,0.0007070316423936766,1335.2026101472843,4.799364128799204,1848.0575628900528,7.297939597801069,5.4253816817154625,0.02067843360949124
Linear Regression,1,0.9060194151769619,0.0,1403.1101677336574,0.0,1892.4023761369542,0.0,5.569082975015729,0.0
