Model Name,R2,MAE,RMSE,MAPE (%)
CatBoost Regressor,0.9272347731709307,1192.404273472421,1665.161483748807,4.900780201361672
LightGBM Regressor (Tuned),0.9247651382220814,1227.2736153380758,1693.1833017136953,4.986026246663474
XGBoost Regressor (Tuned),0.9238524335235299,1229.6055617193572,1703.4226883287138,5.036731996615992
LightGBM Regressor,0.9229007799530634,1230.7857841515424,1714.0338932565667,5.010287043934405
ExtraTrees Regressor,0.920953719086489,1255.4346010712177,1735.54202297796,5.0894533849476815
HistGradientBoosting Regressor,0.9197247412893571,1266.2644823805263,1748.9817186651699,5.127727908931787
XGBoost Regressor,0.9178682443278982,1273.0788661398276,1769.0901577926286,5.2664892760500495
MLP Regressor,0.9177567177646082,1315.8374441771873,1770.290872490355,5.332883959943033
Random Forest Regressor,0.9106977359281914,1332.4425996091873,1844.6995758176026,5.413065525207978
Linear Regression,0.906019415176961,1403.1101677337065,1892.4023761369635,5.569082975015862
SNaive Daily,0.8256966228065227,1849.664098173516,2577.1952010182754,7.370271683316979
SNaive Weekly,0.7764130548298723,2177.706472845623,2918.8893652427582,8.436012756796368
